Player,Nation,Pos,DF,FW,MF,GK,Squad,Top5,Bot5,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1-Mar,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
K. Salihovi?,Bernepamar,FWDF,0,1,0,0,Fanatical Outlaws,No,No,24,1996,0.31,0.04,0.08,-0.06,0,-0.09,0.01,0,0,0,-0.04,0.05,-0.04,-0.1,-0.07,0,-0.1,-0.07,20.01,25.08,80.07,362.53,62.41,12.48,14.97,83.39,5,7.55,66.64,2.42,2.46,100.05,0.03,0.02,0.08,2.56,0.06,0.06,-0.01,2.42,0,0,-0.03,0.04,0.04,0,0.04,0,-0.05,19.92,5.03,24.9,5.01,10.04,5.07,4.9,0.05,-0.1,5.03,-0.1,-0.03,-0.08,0.07,,,,,,,,,,,,,,,,,,,
J. Otto,Bernepamar,FWMF,0,1,0,0,Fanatical Outlaws,No,No,32,1988,0.81,-0.03,0.04,0.03,0,-0.05,-0.05,0,0,0,-0.01,-0.04,0.02,0.07,-0.03,0,-0.08,-0.06,31.26,38.88,80.68,461.22,75.04,16.2,18.87,86.63,11.32,11.37,99.9,1.26,5.05,24.93,-0.03,0.01,0,-0.05,1.32,1.18,-0.02,1.21,3.83,0.09,1.23,0.01,2.5,1.18,2.43,49.93,1.25,16.27,5.07,30.72,7.44,6.17,2.56,0.09,-0.05,-0.03,-0.04,1.17,5.08,1.17,-0.09,,,,,,,,,,,,,,,,,,,
E. Bin Abdul Rahman,Bernepamar,GK,0,0,0,1,Fanatical Outlaws,No,No,26,1994,5.25,0.09,-0.09,-0.09,0,0.03,-0.07,0,0,0,0.07,-0.02,0.09,-0.01,-0.01,0,0.01,-0.01,19.39,27.35,70.98,574.1,362.54,4.76,4.63,100.01,7.22,7.23,100.07,7.59,15.56,48.81,0.05,0.09,0.08,-0.02,0.12,0.09,0.06,0.03,0.01,0.05,-0.05,0.03,0.04,0.02,0.03,0,-0.08,0.24,0.19,100.01,0.18,0.01,-0.06,0.04,0,-0.01,-0.02,0.01,-0.06,0.22,0.18,4.94,5.04,479.96,5.21,1.92,1.97,4.45,2.51,58.23,0.45,-0.1,0.53,0.08,0.02,0.13,0.08,0.1,-0.03,100
B. Schneider,Bernepamar,MF,0,0,1,0,Fanatical Outlaws,No,No,25,1995,-0.02,0.06,-0.08,0.08,0,0.07,0.01,0,0,0,-0.08,-0.01,-0.09,-0.09,-0.04,0,-0.04,-0.02,0.06,-0.06,0,-0.04,0.01,-0.05,-0.07,0,0.08,-0.07,0,-0.02,-0.02,0,-0.02,-0.01,0.05,-0.06,0.05,-0.08,-0.07,-0.01,0.09,0.05,-0.06,-0.02,0.05,-0.02,0.09,0,-0.02,1.07,-0.07,-0.02,-0.05,1,0.09,0.01,-0.02,0.05,-0.1,-0.09,0.06,0.07,0.08,,,,,,,,,,,,,,,,,,,
M. Hussein,Bernepamar,MF,0,0,1,0,Fanatical Outlaws,No,No,30,1990,0.02,0.07,0.03,0.04,0,0.09,0.02,0,0,0,0.03,0.02,-0.02,-0.02,-0.07,0,0.06,0.01,1.02,1.01,99.94,17.94,-0.08,0.06,-0.07,0,1,1.03,100.07,0.06,0.07,0,-0.04,0.02,0,-0.01,0.01,0.03,-0.03,0.01,1.05,0.04,-0.05,-0.05,1,0.1,0.03,0,-0.04,1.1,0.05,-0.02,-0.08,0.01,1.07,0,-0.05,-0.01,0.03,-0.06,1.03,1.92,-0.06,,,,,,,,,,,,,,,,,,,
N. Kabagambe,Bernepamar,MF,0,0,1,0,Fanatical Outlaws,No,No,31,1989,1.91,0.06,0.98,-0.05,0.07,0.93,0.06,0.08,0,24.93,-0.06,0.04,0.09,0.1,0.09,0.09,-0.13,-0.12,39.42,49.08,80.68,669.1,142.59,18.5,21.91,84.15,17.02,19.96,85.05,2.98,4.42,66.8,-0.06,0.09,0.09,0.5,2.44,0.05,0.1,2.06,2.48,0.93,1.97,-0.08,0.42,-0.1,2.92,0.04,3.1,19.98,5.51,27.56,9.91,7.41,2.45,2.04,0.53,0.01,1.49,2.01,4.46,1.96,0.04,,,,,,,,,,,,,,,,,,,
T. Al-Zahrani,Bernepamar,MF,0,0,1,0,Fanatical Outlaws,No,No,22,1998,3.65,-0.04,0.9,0.33,33.38,0.91,0.37,-0.08,0.06,22.07,0.1,0,0,-0.03,0.11,0.05,-0.11,0.02,56.08,62.1,90.18,974.39,196.11,25.06,27.3,91.85,25.67,26.68,95.85,4.5,6.57,66.72,-0.07,-0.05,-0.06,1.1,4.51,0.05,0.02,3.1,2.87,2.31,1.48,1.46,0.07,1.39,3.98,35.68,2.51,29.14,4.98,17.15,9.94,16.5,2.71,2.47,-0.06,-0.02,2.53,0.87,3.66,0.53,0.07,,,,,,,,,,,,,,,,,,,
U. Lai,Bernepamar,MF,0,0,1,0,Fanatical Outlaws,No,No,29,1991,0.66,0.05,1.63,1.61,100.06,1.8,1.76,0.05,-0.05,26.03,-0.1,0.09,-0.07,0.07,0.08,-0.01,0,0.05,76.68,81.66,93.96,1604.91,378.28,25,24.98,99.94,35.01,36.65,95.42,14.97,15.07,99.98,-0.03,0.03,-0.06,0.08,11.6,-0.09,0.07,5.1,4.99,5,3.39,1.58,-0.01,-0.06,0.01,0,0.07,11.64,5.05,42.84,5,5.09,1.72,-0.03,0.02,-0.04,0.06,1.67,6.59,8.28,0.02,,,,,,,,,,,,,,,,,,,
Z. Janssen,Bernepamar,MF,0,0,1,0,Fanatical Outlaws,No,No,29,1991,4.13,-0.09,0.42,0.07,0.06,0.5,0.09,0.04,0,18.47,-0.04,0.02,0.02,-0.08,0.11,0.01,-0.01,0.03,40.41,46.68,86.81,734.59,149.26,17.13,19.53,87.42,17.7,18.58,96.08,4.88,6.49,74.02,0.02,-0.09,0.04,0.14,3.87,-0.08,0.05,1.76,1.89,1.48,1.28,0.51,0.18,0.24,1.61,14.21,1.52,17.08,5.28,31.31,8.33,8.14,0.77,1.15,0.29,-0.03,1.01,2.16,4.06,0.69,0.07,,,,,,,,,,,,,,,,,,,
H. Sinaga,Bernepamar,MFDF,0,0,1,0,Fanatical Outlaws,No,No,24,1996,5.31,0.21,0.34,0.28,49.97,0.4,0.11,0.58,1.05,12.98,0.06,-0.01,-0.01,-0.04,-0.01,0.06,0.08,0.13,45.67,55.07,82.91,738.56,145.18,25.27,27.57,91.73,14.71,18.86,77.92,3.94,5.66,70.08,0.17,0.06,0.02,0.67,2.71,1.22,0.4,3.19,2.16,1.63,1.56,0.34,0.42,0.66,1.18,49.92,0.54,18.78,7,37.35,7.59,6.91,4.13,2.68,0.1,0.07,2.55,1.15,3.35,2.11,0.06,,,,,,,,,,,,,,,,,,,
K. Mayanja,Bernepamar,MFFW,0,0,1,0,Fanatical Outlaws,No,No,27,1993,3.14,0.07,2.88,0.97,33.3,2.9,1.01,0.02,-0.03,26.32,0.04,0.28,0.92,0.4,0.16,0.17,-0.5,-0.22,31.26,39.16,80.08,634.73,190.38,12.77,14.07,91.18,12.59,16,78.46,5.37,7.53,70.86,0.38,0.67,-0.42,2.71,2.85,2.13,-0.03,5.37,1.27,0.53,0.58,0.65,0.01,0.72,1.8,33.25,1.26,23.7,6.85,28.93,8.12,11.25,4.43,1.91,0.37,0,1.49,0.89,2.24,-0.06,-0.07,,,,,,,,,,,,,,,,,,,
Aggregate,Bernepamar,,,,,,,No,,545,41875,58.31,6.27,22.95,10.84,441.33,25.76,12.01,1.73,2.74,207.33,0.06,0.1,0.95,4.54,4.69,1.39,0.72,0.89,771.1,895.42,1707.37,14321.26,3698.35,324.72,355.7,1742.28,334.79,365.38,1699.71,96.09,136.71,1209.79,1.25,1.28,-0.37,16.93,45.48,8.99,0.88,44.73,29.23,17.6,17.22,6.75,5.31,7.31,22.52,413.55,14.95,274.75,83.86,619.87,97.92,111.45,65.22,26.22,4.12,-0.24,21.92,21.89,51.24,37.74,0.39,4.94,5.04,479.96,5.21,1.92,1.97,4.45,2.51,58.23,0.45,-0.1,0.53,0.08,0.02,0.13,0.08,0.1,-0.03,100
C. Carvalho,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,25,1995,0.6,-0.01,1.68,-0.09,-0.07,1.72,0,0.1,0,29.04,0.03,-0.08,-0.08,-0.1,-0.04,0.04,0.08,0.02,53.36,58.35,91.36,1123.33,150.09,11.76,11.67,99.93,35.05,40.08,87.6,6.59,6.61,100,1.66,-0.03,1.77,1.58,1.64,1.58,1.73,-0.05,0.1,-0.02,0,-0.02,-0.05,0.05,1.68,-0.05,1.57,9.99,3.42,33.24,1.58,8.32,-0.01,0.09,-0.01,-0.07,0.02,1.69,1.71,1.61,-0.09,,,,,,,,,,,,,,,,,,,
D. Iskandar,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,30,1990,3.26,-0.02,1.15,0.08,0.02,1.21,0.08,0.08,0,21.62,0,-0.07,-0.02,0.04,0.14,0.14,-0.18,-0.04,42.43,53.81,78.74,717.35,214.79,21.88,24.51,88.86,16.12,20.89,76.77,3.74,5.7,63.18,-0.03,0.2,-0.06,0.82,2.05,0.62,0.09,2.95,1.57,1.22,1.21,0.33,0.08,0,0.54,-0.07,0.67,13.33,4.76,36.45,4.79,3.64,4.82,2.14,0.39,0.03,1.91,1.16,2.71,0.23,0.06,,,,,,,,,,,,,,,,,,,
F. Kyamanywa,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,19,2001,1.68,-0.04,0.73,0.65,99.97,0.53,0.7,-0.1,0.05,27.94,-0.05,0.04,0.09,-0.1,0.09,-0.04,0,-0.1,64.36,68.16,94.46,1174.34,275.63,24.46,26.33,92.85,34.98,34.91,100.08,4.96,6.35,80.08,-0.08,-0.08,0,-0.09,6.96,-0.05,0.05,7.46,4.34,1.82,1.83,1.8,0.56,1.22,1.8,66.65,0.61,17.52,5.66,32.19,6.16,8.08,3.12,1.24,0.58,0.07,0.72,1.96,6.2,3.05,0.09,,,,,,,,,,,,,,,,,,,
I. Gumede,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,28,1992,3.48,0.05,0.2,0.24,99.97,0.22,0.34,0.04,0.1,5.04,0.05,0.08,0.04,0.12,0.01,0.22,-0.17,-0.18,47.03,50.97,92.69,1102.39,246.88,11.73,12.32,95.23,23.5,24.06,97.57,10.66,12.99,82.22,0.07,0.05,0.01,0.38,4.38,0.06,-0.08,2.64,2.62,2.06,0.9,1.69,0.1,0.63,0.82,66.74,0.31,15.77,5.97,38.16,7.42,7.4,0.81,1.47,0.9,-0.02,0.49,2.22,4.84,6.32,-0.01,,,,,,,,,,,,,,,,,,,
O. Oh,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,30,1990,3.23,-0.04,0.09,-0.04,0,-0.03,-0.05,0,0,0,0.1,0.01,0.1,-0.07,0.03,0,0.02,0.07,84.29,93.65,89.95,1593.85,847.54,32.15,32.68,98.17,42.77,45.78,93.47,8.4,13.3,63.59,0.03,0.2,-0.17,0.58,13.2,2.03,0.39,13.57,2.73,1.49,1.78,0.81,0.07,1.29,1.51,80.06,0.37,12.09,4.54,37.44,6.02,5.51,0.61,1.92,0.9,0.02,0.84,2.2,4.79,0.59,0.01,,,,,,,,,,,,,,,,,,,
Q. Hor,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,29,1992,0.05,-0.09,-0.02,-0.09,0,0.09,-0.1,0,0,0,-0.08,-0.06,0,0.04,0.09,0,0.08,0.09,7.04,8.07,87.6,184.97,94.03,0.96,1.98,49.97,3.02,2.92,99.99,2.99,2.91,99.91,-0.09,0.09,0,0.07,1.01,0.91,0.06,1.9,0,0,-0.03,0.01,0.05,-0.04,0.06,0,-0.06,0.99,0.95,99.97,1.05,0,-0.03,0.02,-0.04,-0.03,-0.08,-0.08,-0.09,0,-0.05,,,,,,,,,,,,,,,,,,,
V. Bila,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,24,1996,3.42,0.53,1.69,1.18,66.62,1.62,1.11,0.34,0.48,8.67,-0.08,-0.02,0.04,0.56,0.6,0.22,-0.03,0.04,27.04,36.89,73.61,461.11,182.04,14.67,17.66,82.31,9.49,11.77,80.42,2.76,5.97,47.53,0.05,0.13,-0.13,1.06,1.16,0.55,0.2,3.46,1.77,0.93,0.55,0.49,0.48,1.11,2.01,57.18,0.94,18.37,7.06,39.1,5.38,6.82,6.05,1.11,0.32,0.06,0.91,0.61,2.38,-0.07,-0.06,,,,,,,,,,,,,,,,,,,
Z. Nalunga,Byasier Pujan,DF,1,0,0,0,Fanatical Outlaws,No,No,21,1999,0.58,0,-0.01,0,0,-0.05,-0.03,0,0,0,0.04,0.05,-0.01,-0.01,-0.05,0,-0.1,-0.01,33.21,43.22,76.94,639.92,205.03,11.71,11.72,99.99,20,24.94,80.07,1.65,5.01,33.26,-0.08,-0.03,-0.06,0.04,1.76,0.02,0.07,1.75,0.02,0.1,0.02,0.09,0.01,-0.01,1.75,0.05,1.66,21.65,1.74,7.7,11.61,5.08,4.93,4.96,1.58,-0.02,3.25,1.57,1.67,-0.08,0.08,,,,,,,,,,,,,,,,,,,
L. Mhango,Byasier Pujan,DFFW,1,0,0,0,Fighting Cougars,No,No,29,1991,0.68,0.02,1.61,0.07,-0.07,1.68,-0.04,0.1,0,15.09,0.01,-0.09,0,0.1,0.09,-0.03,-0.01,0.06,36.61,61.66,59.59,663.27,256.62,18.37,25.03,73.34,15.09,18.34,81.76,3.35,13.37,24.94,-0.07,0.08,-0.22,3.38,3.35,1.65,-0.02,8.24,3.24,1.58,1.63,1.57,0.05,1.67,1.71,100.02,0.03,29.91,11.73,38.81,3.38,13.23,13.28,1.72,-0.04,-0.05,1.62,-0.01,3.36,1.74,0.07,,,,,,,,,,,,,,,,,,,
W. Joao,Byasier Pujan,DFMF,1,0,0,0,Fighting Cougars,No,No,21,1999,2.68,0.09,1.61,0.43,24.95,1.6,0.36,-0.07,-0.01,12.04,-0.03,0.04,0.09,0.32,0.32,0.33,-0.3,-0.48,45.74,48.75,93.64,1033.53,233.1,10.89,11.23,96.52,26.47,28.11,94.51,8.53,9.64,88.09,-0.01,0,-0.04,0.09,1.23,-0.09,0.02,2.01,3.08,1.19,1.54,1.62,0.06,1.15,1.12,99.96,0.04,15.84,4.64,29.21,6.61,8.37,0.78,1.52,0.81,0,0.68,0.81,3.93,5.36,0.04,,,,,,,,,,,,,,,,,,,
E. Lam,Byasier Pujan,FW,0,1,0,0,Fighting Cougars,No,No,28,1992,2.12,0.41,2.39,1.02,39.99,2.35,0.97,0.17,0.58,15.71,0.09,0.01,-0.03,0.19,0.3,0.12,0.14,0.23,17.18,25.18,67.92,212.89,30.96,11.09,14.36,76.7,3.85,7.56,49.93,0.92,0.99,99.95,0.01,0.52,-0.47,1.48,0.08,0.57,-0.01,0.57,1.42,0.87,0.41,0.57,0.52,-0.01,0.55,0.04,0.42,27.54,7.17,25.82,2.82,13.33,11.49,0.55,-0.01,0.09,0.51,0.03,1.5,-0.04,0,,,,,,,,,,,,,,,,,,,
S. Amulen,Byasier Pujan,FW,0,1,0,0,Fighting Cougars,No,No,22,1999,1.79,-0.04,1.86,0,-0.05,1.8,-0.08,-0.09,0,18.85,0.1,0.07,-0.04,0.05,0.07,-0.01,-0.17,-0.07,27.11,32.37,83.52,370.64,72.36,17.2,19.36,87.85,8.26,10.06,82.35,0.67,1.28,50.09,1.15,1.09,0.13,2.94,0.68,1.14,-0.06,4.03,-0.09,0,0.08,-0.01,-0.08,-0.08,0.62,-0.07,0.52,11.21,2.4,21.1,1.73,2.98,6.47,0.63,0.02,0.06,0.63,0.07,-0.02,-0.01,-0.04,,,,,,,,,,,,,,,,,,,
U. Yong,Byasier Pujan,FW,0,1,0,0,Fighting Cougars,No,No,30,1990,0.03,-0.06,0.01,-0.07,0,0.05,0.06,0,0,0,0.07,0.09,0.1,-0.09,0,0,-0.04,-0.02,90.03,140.06,64.37,989.96,180,60.09,70.03,85.62,19.99,39.98,50.09,-0.07,20.07,-0.08,0.04,-0.03,-0.05,0.01,9.95,-0.06,0.07,10.1,-0.05,0.04,0.1,-0.09,0.08,-0.08,9.96,0.03,10.02,90.09,39.97,44.32,20.01,39.98,30.09,-0.08,0.02,0.05,0.03,0.02,0.01,0.06,-0.01,,,,,,,,,,,,,,,,,,,
Y. Manjate,Byasier Pujan,FW,0,1,0,0,Fighting Cougars,No,No,26,1994,3.62,0.57,3.15,0.83,27.27,2.98,0.74,-0.01,0.35,18.54,0.38,0.34,-0.02,0.64,0.44,0.2,-0.02,-0.14,34.15,48.88,69.98,544.95,174.37,21.8,26.19,82.96,8.56,11.47,75.6,2.87,8.86,31.36,0.61,0.25,0.32,1.74,3.31,2.58,0.21,5.28,0.02,0.02,-0.09,0.1,-0.02,-0.08,0.78,-0.01,0.79,13.38,5.28,39.56,0.77,4.51,8.05,0.33,0.08,-0.02,0.29,0.58,0.49,0.08,0,,,,,,,,,,,,,,,,,,,
Z. Namiiro,Byasier Pujan,FWDF,0,1,0,0,Fighting Cougars,No,No,29,1992,0.77,0.08,1.35,-0.09,-0.08,1.48,-0.02,0.02,0,20.03,0.01,0.05,-0.09,-0.06,0.04,-0.04,-0.04,0.09,44.33,58.68,75.59,658.64,97.19,22.98,30.06,76.25,15.75,21.43,73.26,2.91,2.95,100.03,-0.01,-0.07,0.08,0.03,-0.09,1.48,1.46,-0.07,0.02,-0.08,0.09,-0.01,0.05,-0.1,1.35,0.08,1.51,18.52,2.9,15.47,5.64,8.55,4.21,0.1,-0.09,-0.1,-0.1,0.05,0.08,0.01,-0.02,,,,,,,,,,,,,,,,,,,
J. Muratovi?,Byasier Pujan,GK,0,0,0,1,Fighting Cougars,No,No,38,1982,3.99,0.04,-0.01,-0.06,0,-0.03,-0.09,0,0,0,-0.08,-0.02,0.07,0.04,0.02,0,-0.1,-0.06,23.5,35.28,66.79,803.09,543.09,2.8,2.7,100.06,10.22,10.39,100.04,10.44,21.94,47.78,-0.01,-0.02,0,0.1,0.51,0.02,0,0.08,0.09,-0.01,-0.07,-0.04,-0.09,0.09,0.06,0,0.08,0.05,-0.04,0,-0.03,0.03,0.05,-0.02,0.06,0.05,0.09,-0.04,-0.01,0.07,-0.03,4.07,3.97,359.95,4.09,1.02,0.93,3.04,1.98,66.79,0.7,-0.04,0.27,0.58,50,-0.04,0.09,0.05,-0.08,0
