Player,Nation,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
F. Lubowa,Newgan Ruland,FW,Fanatical Outlaws,No,No,A,31,1988,1.22,0.86,2.47,1.57,66.75,2.57,1.71,0.41,0.43,16.46,0.9,-0.05,-0.09,0.68,0.72,0.29,0.13,0.14,15.81,18.35,86.45,261.72,41.79,4.96,5.73,85.8,6.66,7.52,88.89,1.65,1.61,100.09,-0.01,0.05,0,0.03,1.72,0.74,0.05,2.51,-0.04,-0.09,0.03,-0.06,-0.01,0.04,0.78,-0.06,0.87,21.6,4.94,23.13,-0.08,5.8,15.81,0.08,-0.09,-0.09,-0.05,0.91,0.91,-0.08,-0.06,,,,,,,,,,,,,,,,,,,
B. De Rosa,People's Land of Maneau,FW,Fanatical Outlaws,No,Yes,A,22,1996,10.1,0.19,2.38,0.74,29.18,2.31,0.78,0.1,0.19,17.86,-0.07,0.08,-0.03,0.16,0.14,0.1,-0.15,-0.02,18.38,27.11,68.06,363.12,119.17,7.84,9.17,83.99,6.87,8.72,80.79,2.98,6.77,45.53,0.42,0.29,0.23,1.39,1.11,0.91,0.29,1.71,1.9,1.18,0.59,0.76,0.58,0.49,1.86,26.39,1.34,17.12,3.85,22.97,6.5,6.2,4.16,1.4,0.04,-0.08,1.45,1.58,3.43,0.4,-0.09,,,,,,,,,,,,,,,,,,,
I. Namirimu,Thaijagypt,FW,Fanatical Outlaws,No,No,A,29,1990,19.63,0.47,3.34,1.6,44.81,3.44,1.5,0.21,0.32,13.34,-0.06,0.1,-0.03,0.53,0.61,0.07,-0.09,-0.15,16.57,25.98,64.04,261.59,66.1,9.26,11.85,78.83,4.84,7.8,62.23,1.62,3.45,47,0.24,0.16,-0.04,1.15,0.98,0.67,0.44,1.61,0.65,0.42,0.18,0.27,0.23,0,0.62,14.39,0.61,17.21,3.89,23,1.56,7.68,7.88,1.38,0.16,0.02,1.06,0.5,1.08,0.43,-0.05,,,,,,,,,,,,,,,,,,,
F. Dauda,Nganion,GK,Fanatical Outlaws,No,Yes,A,33,1986,7.55,-0.02,0.04,-0.05,,0,-0.01,,,,-0.05,-0.09,-0.09,0.02,-0.04,,-0.09,-0.03,14.98,30.58,48.65,586.25,468.63,2.27,2.25,100.03,4.57,4.51,99.98,7.98,23.68,33.41,-0.05,0,0.07,-0.1,-0.02,0.05,-0.06,-0.06,0.08,0.06,-0.06,0.03,-0.06,0.08,0.06,,0.08,0,-0.01,,0.07,-0.09,0.08,0.1,0.06,0.08,-0.08,0.08,0.04,0.08,-0.09,7.91,7.07,686.91,7.62,2.25,2.27,6.62,4.8,68.69,0.05,0.22,0.87,-0.07,0.1,0.11,0.11,-0.05,0.07,-0.04
S. Kiconco,Nkasland Cronestan,GK,Fanatical Outlaws,Yes,Yes,A,34,1985,23.43,0.02,-0.07,0.02,,-0.1,-0.02,,,,-0.05,-0.09,-0.07,-0.01,-0.01,,0.04,0.07,16.15,28.7,56.23,731.62,566.82,1.04,1.16,99.9,3.85,4.02,97.9,11.04,23.46,47.44,0.02,0.09,-0.05,-0.02,0.36,0.09,-0.04,0.01,-0.08,0.09,-0.01,-0.09,0,0.07,0.06,0,0.12,0.46,0.17,19.99,0.44,-0.01,-0.09,-0.04,0,0.05,-0.08,-0.09,-0.02,0.19,0.1,24.93,24.92,2117.03,23.47,1.48,1.42,4.26,2.97,68.39,0.3,0.28,0.41,0.25,20.06,0.18,0.06,0.1,0.01,24.94
R. Namuganza,People's Land of Maneau,GK,Fanatical Outlaws,No,Yes,A,33,1986,4.73,0.1,-0.09,-0.08,,0.01,-0.07,,,,0.03,0.05,0.07,0.06,-0.09,,-0.07,0.08,11.44,25.87,44.31,595.37,502.39,0.14,0.28,100,2.04,2.15,99.9,9.21,23.49,38.82,-0.08,-0.03,-0.08,0.08,0.51,0.04,-0.01,0.04,-0.01,0.07,-0.1,0.02,-0.09,-0.01,-0.04,,-0.03,0.17,0.26,100.01,0.21,-0.06,-0.06,0.16,0.08,0.02,0.25,-0.03,-0.04,0.08,0.19,5.03,4.07,435.93,4.88,1.3,1.24,4.16,2.91,69.97,0.45,-0.02,0.35,0.44,50.04,0.04,-0.06,0.08,-0.04,
R. Chee,Southslands,GK,Fanatical Outlaws,Yes,No,A,32,1987,1.93,0.09,0.05,-0.07,,-0.02,0.02,,,,0.04,0.03,0.02,-0.04,0.02,,-0.04,-0.06,10.97,19.99,55.09,621.96,546.47,0.92,1.09,100.03,0.03,-0.03,,10.09,18.92,52.63,-0.02,-0.06,0.03,-0.09,1.57,0.1,-0.06,-0.06,0.03,-0.03,-0.08,-0.1,-0.09,0.02,0.03,,-0.02,-0.06,0.02,,0.08,-0.01,0.06,0.06,-0.01,0.04,0.1,0.05,0,-0.09,0.09,2.03,2,180.09,2,2.4,2.49,4.46,2.45,55.66,-0.03,0.59,0.45,-0.01,-0.06,0.59,0.57,-0.06,0.06,-0.03
F. Pop,Galamily,MF,Fanatical Outlaws,Yes,No,A,24,1995,11.53,0.18,1.55,0.57,36.72,1.54,0.63,0.13,0.48,12.08,0.05,0.07,-0.03,0.17,0.17,0.16,0,-0.02,23.69,33.75,69.86,418.28,100.35,10.46,14.35,73.03,9.71,13.21,72.76,2.58,4.16,61.18,-0.02,0.03,-0.05,0.19,2.12,0.43,0.09,1.94,3.02,2.11,1.24,1.53,0.29,0.36,1.7,26.2,1.3,20.72,6.65,32.05,8.26,8.83,3.59,1.31,0.2,-0.05,1.03,1.38,4.25,3.26,-0.07,,,,,,,,,,,,,,,,,,,
D. Alshehri,People's Land of Maneau,MF,Fanatical Outlaws,No,Yes,A,32,1987,29.8,0.05,0.4,0.01,21.43,0.45,0.04,0.13,0.32,24.75,0.03,0.11,0.06,0.12,0.07,-0.03,-0.03,-0.07,41.03,50.5,81.18,829.39,236.74,15.99,18.21,87.39,16.98,19.69,85.76,7.35,10.32,71.38,0.19,0.03,0.08,1.42,4.65,1.04,0.07,4.61,1.75,1.18,0.64,0.75,0.26,0.57,2.29,23.28,1.7,16.99,4.66,27.04,5.4,8.63,2.87,0.95,0.22,0.02,0.75,0.6,2.41,0.39,-0.09,,,,,,,,,,,,,,,,,,,
I. Iddrisu,People's Land of Maneau,MF,Fanatical Outlaws,Yes,Yes,A,20,1999,38.08,-0.02,0.84,0.29,30.05,0.71,0.21,-0.04,0.17,22.63,0.05,0.01,0.04,-0.01,0.08,-0.06,0.02,-0.09,38.71,45.25,86.1,790.14,198.55,14.3,15.75,91.05,17.01,18.44,91.71,6.7,9.11,72.11,0.13,0,-0.04,0.58,4.13,0.5,0.16,2.86,3.17,2.44,1.72,1.31,0.05,0.82,2.56,33.77,1.61,21.66,6.22,28.93,10.18,10.09,1.21,1.71,0.31,-0.09,1.62,1.31,4.46,1.59,0.01,,,,,,,,,,,,,,,,,,,
L. Goodarzi,People's Land of Maneau,MF,Fanatical Outlaws,No,Yes,A,27,1992,2.49,-0.01,0.05,0.01,,0.05,-0.07,,,,-0.08,0.02,-0.05,0.07,0.03,,-0.05,0.05,25.34,30.33,83.58,351.28,67.97,16.23,18.35,88.58,7.55,8.73,85.67,1.26,2.16,59.9,-0.04,-0.04,-0.05,-0.09,0.77,-0.1,0.08,0.48,0.46,0.08,0.07,0.41,0.04,0.52,2.48,16.61,2.01,26.32,8.75,33.21,6.24,14.23,5.8,2.45,-0.09,0.08,2.52,-0.03,0.33,0.42,0.01,,,,,,,,,,,,,,,,,,,
Y. Joseph,People's Land of Maneau,MF,Fanatical Outlaws,No,Yes,A,21,1998,0.47,0.09,2.53,2.59,100.08,2.71,2.8,-0.1,-0.03,23.95,0.08,0.08,0.06,0.01,-0.07,0.06,-0.05,0,27.41,34.92,78.64,342.47,122.51,19.96,22.51,88.94,7.59,12.41,59.97,-0.08,0.02,,-0.01,-0.01,-0.09,-0.07,-0.05,0.07,-0.09,0.04,2.45,0.04,2.41,0.03,0.05,0.09,0.03,,0,32.45,10,30.74,12.56,10.05,10.07,2.45,-0.02,0.09,2.51,0.01,2.53,-0.03,0.03,,,,,,,,,,,,,,,,,,,
I. Horváth,Western Niasland,MFDF,Fanatical Outlaws,No,No,A,33,1986,1.27,0.06,0.08,0.1,,-0.06,-0.08,,,,-0.07,0.09,-0.03,0,-0.05,,-0.1,0.05,34.65,42.29,81.8,634.63,167.65,12.24,13.86,88.88,16.82,20.76,81.47,4.53,6.82,66.74,0.03,-0.05,-0.07,-0.08,1.56,0.02,0.06,1.5,1.52,0.73,0.01,1.47,0,0.8,0.85,99.93,-0.01,19.99,4.56,23.04,4.56,13.71,1.5,1.53,0.04,0,1.52,1.56,3.13,3.89,0.03,,,,,,,,,,,,,,,,,,,
J. Akello,Bernepamar,MFFW,Fanatical Outlaws,Yes,Yes,A,29,1989,10.93,0.42,2.39,1.12,46.13,2.27,1.03,0.2,0.42,17.4,0.11,-0.08,0.1,0.18,0.16,0.05,0.31,0.32,30.8,38.51,79.62,505.32,125.48,17.41,19.48,89.32,8.43,10.41,80.69,3.7,6.31,58.57,0.13,0.3,-0.17,1.64,1.24,1.05,0.34,3.18,1.45,0.83,0.66,0.66,0.18,0.4,1.96,23.83,1.36,15.27,4.12,27.43,3.79,6.98,4.49,0.69,0.06,0.06,0.62,0.33,1.58,0.6,0.05,,,,,,,,,,,,,,,,,,,
I. Kamukama,Lefghau,MFFW,Fanatical Outlaws,No,No,A,26,1993,16.57,0.16,1.46,0.39,34.88,1.37,0.44,0.11,0.15,16.65,0.04,0.08,0.07,0.24,0.14,0.01,0,-0.09,43.67,56.39,77.52,726.22,211.16,23.86,28.32,84.55,14.19,18.02,78.52,4.3,6.14,69.95,0.29,0.15,0.02,1.5,2.86,1.95,0.32,5.05,2.74,1.9,1.23,1.02,0.43,0.65,2.79,22.81,2.31,22.35,6.18,28.17,5.63,11.34,5.33,1.33,0.02,-0.01,1.21,0.85,3.46,0.79,-0.05,,,,,,,,,,,,,,,,,,,
W. Lew,Nganion,MFFW,Fanatical Outlaws,Yes,Yes,A,23,1996,24.11,0.05,1.54,0.58,32.39,1.54,0.57,0.1,0.26,16.78,0.03,-0.09,-0.03,0.09,0.1,0.04,0.04,-0.01,28.21,37.24,75.79,454.91,125.52,15.63,17.61,88.29,8.43,11.38,75.33,2.94,5.18,56.53,0.23,0.14,0.14,0.65,2.09,1.16,0.34,2.74,1.82,1.11,0.61,0.68,0.36,0.73,2.85,22.98,2.28,24.81,6.39,26.15,6.36,11.39,7.01,2.17,0.03,-0.03,2.14,0.65,2.44,0.43,-0.06,,,,,,,,,,,,,,,,,,,
M. Namukwaya,Ngoque Blicri,MFFW,Fanatical Outlaws,No,No,A,31,1987,16.81,0.26,1.18,0.64,47.57,1.21,0.6,0.18,0.59,16.39,-0.07,0.04,0.09,0.18,0.21,0.11,0.11,0.09,25.87,37.71,68.45,475.4,159.09,12.21,15.28,80.53,8.64,10.86,80.15,4.28,9.63,44.44,0.23,0.09,0.16,2.02,1.81,0.79,0.21,2.8,1.7,0.57,1.05,0.53,-0.04,0.61,2.31,25.09,1.73,21.83,5.32,24.57,6.93,11.04,3.78,1.27,0.22,-0.06,1.13,0.1,1.58,0.99,-0.09,,,,,,,,,,,,,,,,,,,
U. Pichler,Quewenia,MFFW,Fanatical Outlaws,Yes,Yes,A,22,1997,1.54,-0.03,1.99,0.01,-0.07,1.87,0.01,0.1,,14.13,-0.05,-0.03,-0.08,0.06,0.08,0.05,-0.13,-0.05,10.07,12.08,83.28,101.29,5.26,7.91,7.92,100.05,1.42,3.31,40.09,-0.07,0.02,,0.08,0.14,-0.12,1.37,0,0.07,-0.01,0.05,0.6,0.03,0.1,0.02,0.69,0.07,-0.01,,0.03,14.02,0.7,4.89,2.01,4.04,8.02,0.01,-0.06,-0.04,-0.08,0.64,1.23,0.05,0.04,,,,,,,,,,,,,,,,,,,
H. Tourgeman,Rarita,MFFW,Fanatical Outlaws,No,No,A,26,1993,15.32,-0.03,1.55,0.49,30.33,1.59,0.39,0.04,0.07,18.07,0.15,-0.01,0.01,0.18,0.17,0.05,-0.19,-0.17,44.13,52.13,84.5,716.33,203.62,24.25,26.88,90.1,13.4,15.48,87.65,4.37,7.19,62.42,0.18,0.14,0.01,2.03,4.23,0.95,0.18,4.78,0.65,0.65,0.48,0.23,0.14,0.39,2.39,13.58,1.99,22.49,4.97,22.1,4.94,12.87,4.49,0.7,0.14,0.09,0.75,0.62,1.22,0.31,-0.05,,,,,,,,,,,,,,,,,,,
R. Petrenko,Lefghau,DF,Fighting Cougars,No,No,A,24,1995,7.41,-0.02,1.02,0.17,28.64,0.96,0.26,0.02,-0.05,18.11,-0.1,0.04,0.09,-0.04,0.02,0.11,-0.01,-0.09,38.13,51.18,74.64,629.48,277.26,18.91,22.84,82.94,16.28,20.71,78.11,2.44,5.4,43.95,-0.06,0.1,-0.05,0.4,3.41,1.08,0.47,5.14,3.69,2.19,1.84,0.72,1.19,1.68,2.51,63.21,0.94,17.29,5.9,34.04,7.44,6.31,3.23,2.07,0.31,0.07,1.79,0.58,4.38,3.28,0.03,,,,,,,,,,,,,,,,,,,
Z. Salisu,Nganion,DF,Fighting Cougars,No,Yes,A,28,1991,21.2,-0.09,0.3,0.07,37.5,0.46,0.16,0.07,-0.05,16.63,-0.02,-0.07,0.01,0.08,0.13,0.23,-0.1,-0.05,47.74,59.47,80.27,837.84,294.54,23.44,26.45,88.15,18.81,22.42,84.32,4.84,8,61.1,0.01,0.01,-0.1,1.02,1.97,1.68,0.79,4.27,2.38,1.43,1.38,0.61,0.22,1.03,2.47,43.98,1.4,17.84,4.31,24.59,7.77,7.57,2.52,1.97,0.32,0.07,1.74,0.79,3.07,2.67,0.1,,,,,,,,,,,,,,,,,,,
D. Ikeda,People's Land of Maneau,DF,Fighting Cougars,No,Yes,A,27,1991,35.84,0.14,0.87,0.28,33.37,0.9,0.28,0.12,0.22,10.93,0.05,0.02,0.08,0.09,0.02,0.23,-0.07,-0.06,53.21,61.13,87.34,1254.69,375.23,12.51,13.86,90.79,28.89,30.12,95.78,11.41,16.36,70.03,0.1,-0.07,0.11,0.31,3.57,0.2,-0.06,2.36,1.15,0.72,0.8,0.34,-0.06,0.26,1.16,31.76,0.77,6.94,2.94,43.05,4.63,2.09,0.24,2.07,0.94,0.05,0.96,1.07,2.12,4.47,0.11,,,,,,,,,,,,,,,,,,,
I. Ludwig,People's Land of Maneau,DF,Fighting Cougars,No,Yes,A,27,1992,31.95,0.01,0.36,0.1,0.08,0.31,0.08,-0.03,,11.69,-0.09,-0.05,-0.01,0.14,0.06,0.02,-0.03,-0.03,43.37,57.52,75.47,749.55,272.98,21.17,24.32,86.99,18.12,22.32,80.92,3.74,8.54,42.37,-0.01,0.02,0.06,0.62,3.54,0.71,0.28,3.21,1.9,1.21,1.02,0.65,0.18,0.83,1.83,42.86,1,14.47,5.12,35.38,7.85,4.95,1.65,2.02,0.68,-0.09,1.42,0.77,2.68,4.72,0.05,,,,,,,,,,,,,,,,,,,
K. Tóth,People's Land of Maneau,DF,Fighting Cougars,No,Yes,A,24,1995,29.58,0.16,0.48,0.24,43.77,0.57,0.2,0.27,0.43,13.18,0.07,-0.01,-0.08,0.14,0.03,0.07,0.11,0.15,52.31,61.55,84.78,1140.31,389.94,15.58,17.08,90.55,26.51,29.71,89.75,9.88,14.05,70.92,-0.01,-0.01,0.04,0.25,3.05,0.22,0.04,3.27,1.23,0.92,0.76,0.38,0.05,0.56,1.14,44.35,0.66,7.59,2.83,38.69,4.94,2.17,0.31,2.19,1,-0.08,1.11,1.17,2.31,6.12,0.09,,,,,,,,,,,,,,,,,,,
U. Ortíz,People's Land of Maneau,DF,Fighting Cougars,No,Yes,A,18,2000,6.5,-0.04,0.29,-0.09,-0.03,0.34,0.03,-0.09,,24.48,0.04,0.04,0.03,0.02,-0.02,0.1,-0.01,0.05,26.61,36.15,73.69,446.9,129.41,12.8,15.49,83.01,11.89,15.85,74.88,1.81,3.46,52.21,0.05,0.03,0.08,0.7,1.73,0.86,0.82,2.04,1.29,0.42,1.19,0.12,0,0.01,1.47,-0.08,1.29,14.06,2.71,18.71,5.99,4.97,3.07,1.98,0.14,-0.07,1.94,1.43,2.77,2.39,0.06,,,,,,,,,,,,,,,,,,,
O. Ilukol,Sobianitedrucy,DF,Fighting Cougars,No,Yes,A,30,1989,4.1,-0.04,1.32,0.21,19.96,1.26,0.27,-0.06,0.09,15.11,0,0.02,-0.07,0.05,0.16,-0.03,-0.01,-0.03,30.29,42.29,71.58,518.77,177.88,13.21,17.56,75.77,14.09,16.95,82.45,2.78,5.67,47.85,0.09,-0.03,0.09,0.09,1.07,0.68,0.27,2.2,1.45,1.34,1.04,0.18,0.17,0,1.33,0.05,1.22,11.89,3.56,29.86,6.41,3.49,1.68,1.79,-0.09,-0.03,1.68,0.76,2.25,4.17,0.1,,,,,,,,,,,,,,,,,,,
D. bin Salleh,Southslands,DF,Fighting Cougars,Yes,No,A,27,1992,13.89,0.06,0.43,0.08,16.78,0.44,0.13,0.13,1.09,11.49,0.05,0.07,-0.04,0.06,0.07,0.31,-0.11,0.02,37.3,44.32,84.04,878.06,253.48,9.23,10.48,89.58,19.77,21.91,90.16,7.88,11.47,70.1,-0.07,-0.04,0.08,0.09,1.85,0.31,-0.02,1.64,1.2,0.65,0.71,0.3,0.06,0.27,1.37,22.14,1.06,7.17,2.41,34.05,5.05,2.03,0.23,1.43,0.59,0.03,0.91,0.88,2.15,8.39,0.01,,,,,,,,,,,,,,,,,,,
G. Köhler,People's Land of Maneau,DFFW,Fighting Cougars,No,Yes,A,25,1994,12.67,0.01,1.75,0.55,38.07,1.66,0.64,0.05,-0.02,18.55,0.09,0.01,0.02,0.04,0.21,0.14,-0.15,-0.2,34.34,47.29,72.47,637.5,183.63,15.72,18.27,86.16,14.33,18.24,78.01,4.09,8.57,46.79,0.06,0.09,0,0.98,1.33,1.67,0.64,3.4,2.09,1.43,1.2,0.67,0.2,0.76,1.66,42.88,1.01,12.4,3.48,27.83,4.27,4.58,3.65,1.69,0.14,0,1.49,0.86,2.97,1.48,0.17,,,,,,,,,,,,,,,,,,,
L. Wafula,Dosqaly,FW,Fighting Cougars,No,Yes,A,22,1996,30.73,0.37,3.03,1.02,37.88,2.9,1.14,0.05,0.3,14.86,0.01,-0.05,0.08,0.41,0.35,0.04,-0.13,-0.14,17.7,22.45,78.41,275.64,47.5,9.52,11.41,82.27,5.9,6.82,84.42,1.37,1.98,71.24,0.15,0.18,0.06,0.93,0.83,0.82,0.03,1.73,0.87,0.53,0.21,0.47,0.21,0.17,1.18,22.23,0.89,22.99,6.07,26.23,2.24,9.16,11.5,1.04,0.05,0,0.86,0.15,1,0.26,0.04,,,,,,,,,,,,,,,,,,,
