Player,Nation,,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1.3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Top5
D. Oren,Central Diasongo,,FW,Fanatical Outlaws,No,No,A,26,1994,10.41,0.28,2.39,1.06,44.08,2.49,0.98,0.04,0.35,9.57,0.09,-0.01,-0.06,0.35,0.29,0.13,0.1,0.02,16.46,24.13,67.85,264.38,50.46,9.59,13.16,72.4,4.61,6.3,72.35,1.65,2.69,60.64,-0.04,0.15,-0.03,0.93,1.18,0.47,0.03,1.79,1.16,0.34,0.2,0.43,0.48,0.32,1.74,22.25,1.44,19.01,3.99,21.02,1.09,11.19,6.91,0.31,0.17,-0.1,0.32,0.53,1.64,0.71,0.02, , , , , , , , , , , , , , , , , , , ,No
I. Namirimu,Thaijagypt,,FW,Fanatical Outlaws,No,No,A,30,1990,21.82,0.45,2.98,1.04,35.88,2.92,1.07,0.14,0.46,12.81,-0.03,0.1,-0.06,0.57,0.49,0.27,-0.08,0,14.87,22.41,66.44,228.66,42.27,8.71,11.78,73.09,4.02,6.19,67.29,1.32,2.34,57.67,0.32,0.06,0.05,1.03,1.03,0.49,0.16,1.16,0.64,0.3,0.02,0.27,0.33,0.03,0.34,22.27,0.42,11.59,3.03,25.64,0.83,4.14,6.56,1.21,0.4,-0.04,0.73,0.47,1.14,0.44,-0.02, , , , , , , , , , , , , , , , , , , ,No
G. Hartmann,Byasier Pujan,1,MFFW,Green Fleet,No,Yes,A,23,1997,5.77,0.11,0.32,0.23,49.98,0.43,0.23,0.58,0.9,18.64,-0.09,-0.01,0.08,0.11,0.01,0.16,0.18,0.04,40.47,48.13,84.11,629.49,130.61,21.7,24.3,89.46,16.28,17.59,92.2,1.83,2.92,64.75,0.15,0.24,0.06,0.49,1.98,0.3,0.21,1.71,2.09,1.53,0.49,1.04,0.56,0.46,2.29,23.18,1.7,18,5.47,30.41,3.68,10.23,4.32,1.81,0.22,0,1.76,1.27,3.32,1.51,-0.07, , , , , , , , , , , , , , , , , , , ,No
H. Nsamba,Byasier Pujan,1,FW,Horrible Storm,No,Yes,A,25,1995,17.81,0.64,3.38,1.49,43.39,3.32,1.47,0.06,0.31,20.55,0.28,0.19,0.32,0.52,0.2,0.15,0.05,0.07,24.17,34.21,70.45,390.77,108.24,13.46,16.33,82.36,7.53,10.29,73.38,2.23,4.59,48.03,-0.08,0.17,-0.09,1.4,1.6,1.01,0.53,2.21,0.92,0.62,0.37,0.27,0.11,0.13,1.09,22.17,0.86,12.22,2.84,23.96,3.28,4.67,4.34,0.59,-0.09,-0.09,0.65,0.56,1.38,0.61,0.05, , , , , , , , , , , , , , , , , , , ,No
I. Kamukama,Lefghau,,FWMF,Fanatical Outlaws,No,No,A,27,1993,0,-0.05,-0.06,0.04,,0.08,-0.09,,,,0.02,0.01,0.09,0.08,-0.01,,-0.03,-0.07,4.1,5.92,66.64,60.98,28.07,2,2.07,100.08,1.95,4.08,49.98,0.07,0.02,,0.09,-0.01,0.06,0.09,0.09,-0.04,-0.06,1.98,0.93,1.06,0.06,1,-0.01,0,2.05,-0.09,2.04,2.93,1.02,33.32,0.94,1.96,0.07,0.08,-0.08,0.04,-0.04,-0.02,0.99,0.04,-0.07, , , , , , , , , , , , , , , , , , , ,No
V. Garcia,Byasier Pujan,1,DF,Old Mustangs,No,Yes,A,29,1991,4.13,0.24,0.98,0.4,49.94,0.98,0.59,0.23,0.59,13.48,0.02,0,-0.08,0.12,-0.03,0.08,0.13,0.22,72.27,80.2,89.96,1726.34,514.39,14.85,15.86,93.88,42.98,45.39,94.54,14.44,18.72,76.55,-0.05,0.1,-0.02,-0.09,6.36,-0.06,-0.03,4.97,0.67,0.14,0.33,0.47,0.1,-0.08,0.31,0.1,0.23,3.5,0.82,21.44,1.8,1.81,0.09,0.65,0.51,0.04,0.29,0.05,0.65,2.99,0.26, , , , , , , , , , , , , , , , , , , ,No
V. Waswa,Byasier Pujan,,MF,Old Mustangs,Yes,Yes,A,29,1990,32.78,0.12,1,0.37,28.91,0.85,0.36,0.04,0.18,16.99,-0.01,-0.06,0.06,0.07,0.04,0.09,0.02,0.06,49.87,53.45,93.23,857.72,165.96,23.82,25.18,94.62,20.29,21.4,94.74,4.62,5.22,89.57,-0.04,0.05,-0.04,0.72,4.2,0.66,0,2.77,0.97,0.72,0.27,0.39,0.14,0.21,1.01,26.42,0.86,12.93,4.72,36.17,3.76,6.56,2.59,1.19,0.11,-0.01,0.97,0.68,1.7,0.78,0.07, , , , , , , , , , , , , , , , , , , ,No
D. John,Pierrema,,FWMF,Fanatical Outlaws,No,No,A,24,1995,15.52,-0.03,2.2,0.67,31.43,2.34,0.63,0.06,0.09,19.93,0.08,0.09,0.06,0.13,0.17,0.05,-0.06,-0.06,26.54,33.95,78.02,412.44,117.66,15.17,16.92,89.35,8.47,10.67,79.53,1.84,4.32,43.9,0.32,0.21,0.15,1.83,2.71,1.46,0.34,3.12,1.99,1.26,0.65,1.03,0.43,0.59,1.78,28.52,1.19,18.5,4.72,25.48,5.16,9.22,4.16,1.07,-0.07,-0.01,0.92,0.89,2.88,0.59,0.01, , , , , , , , , , , , , , , , , , , ,No
D. Iskandar,Byasier Pujan,,DF,Silver Heels,Yes,Yes,A,29,1990,19.72,0.05,0.93,0.32,33.27,0.88,0.38,0.08,-0.05,20.37,0.2,0.09,-0.09,-0.02,-0.04,0.02,-0.09,-0.03,45.04,57.1,78.82,756.89,352.62,23.07,25.9,88.8,17.13,21.24,81.3,3.92,7.79,51.93,0.12,0.06,0.05,0.54,3.43,1.24,0.26,5.75,1.7,1.02,1.02,0.5,0.08,0.67,2.12,35.72,1.38,10.53,3.53,33.52,6.5,2.76,0.97,1.57,0.27,0.06,1.14,1.7,3.38,2.05,0.14, , , , , , , , , , , , , , , , , , , ,No
R. Chee,Southslands,,GK,Fanatical Outlaws,No,No,A,33,1987,2.97,-0.09,-0.07,0,,0.09,0.09,,,,0.01,-0.03,0.05,-0.03,-0.05,,0.09,-0.04,12.05,21.96,54.57,436.99,328.67,1.59,1.71,100.09,4.42,4.24,100.09,6.1,16.07,37.53,0.04,0.08,-0.09,0.05,0.04,-0.04,0.01,0.03,-0.06,0.05,-0.05,-0.08,0.09,-0.04,-0.09,,-0.04,-0.09,-0.08,,-0.07,0,-0.06,-0.1,-0.09,-0.02,-0.01,-0.1,0.09,0,-0.03,2.92,3.07,270.04,3.05,0.9,1.1,3.01,2.01,66.67,0.66,0.05,0.28,0.39,33.22,0.08,0.1,-0.02,-0.05,,No
J. Agaba,Byasier Pujan,1,MF,Silver Heels,No,Yes,A,23,1996,20.29,0.05,0.39,0.1,24.96,0.33,0,0.29,1,19.52,0.08,-0.1,0.03,0.07,0,0.07,0.03,0.05,26.38,31.13,84.98,451.68,114.43,12.3,13.91,88.8,10.68,12.08,87.35,2.65,3.81,72.38,0.04,0.12,-0.08,0.52,2.23,0.41,-0.1,2,1.58,1.08,0.78,0.71,0.23,0.62,1.88,35.01,1.24,14.78,4.22,28.6,5.56,7.32,1.64,2.25,0.35,-0.07,1.87,1.23,2.88,1.47,-0.1, , , , , , , , , , , , , , , , , , , ,No
L. Kyalisiima,Byasier Pujan,1,FWMF,Stacked Rocks,No,Yes,A,22,1997,13.33,0.13,1.08,0.46,33.32,1.04,0.29,0.14,0.28,16.32,-0.03,0.09,0.09,0.14,0.12,0.15,-0.1,-0.09,25.93,31.91,81.1,361.29,63.38,16.01,18.06,89.3,7.83,9.6,81.21,0.71,2.21,28.95,0.19,0.07,0.03,0.97,1.56,0.57,-0.06,1.35,1.17,0.81,0.46,0.21,0.49,0.49,1.78,25.03,1.35,17.96,4.74,26.01,4.5,7,6.55,0.71,0.14,-0.07,0.58,0.83,2.14,0.28,-0.08, , , , , , , , , , , , , , , , , , , ,No
C. Danquah,Byasier Pujan,1,DF,Weak Tornadoes,No,Yes,A,24,1995,16.5,-0.06,0.48,0.15,28.53,0.5,0.1,-0.09,-0.09,18.42,0.06,-0.01,0,-0.02,0.02,-0.01,-0.05,-0.07,38.88,52.22,74.43,714.11,289.85,17.01,20.4,84.2,16.15,20.58,78.58,4.74,7.77,59.76,0.07,0.09,0,1.01,2.03,1.49,1.1,3.22,3.57,1.77,1.99,1.16,0.38,0.84,1.63,57.76,0.72,15.27,4.84,31.56,7.3,5.29,2.48,1.87,0.38,0.05,1.46,1.82,5.2,3.62,-0.09, , , , , , , , , , , , , , , , , , , ,No
J. Tsan,Byasier Pujan,1,DF,Weak Tornadoes,No,Yes,A,26,1994,1.02,0.05,-0.04,-0.05,,0.1,0.04,,,,0.04,0.05,0.06,-0.07,0,,-0.1,-0.09,36.92,38.93,94.87,723.1,293.06,12.04,13.07,92.32,22.01,23.02,95.72,2.95,2.98,100.09,-0.08,0,0.08,1.05,2.98,0.92,1.09,2.93,3.92,4.05,1.03,3.03,-0.05,0.05,-0.02,,-0.04,13.9,8.07,57.12,5.95,7.02,1.04,1.94,-0.01,0.04,1.93,0.02,3.92,5.97,0.02, , , , , , , , , , , , , , , , , , , ,No
H. Tourgeman,Rarita,,MFFW,Fanatical Outlaws,No,No,A,27,1993,6.22,0.26,1.91,0.53,24.91,2,0.48,0.04,0.33,17.17,0.17,-0.08,0.09,0.2,0.09,0.04,-0.06,-0.01,51.99,58.5,88.85,839.82,208.03,27.87,30.25,92.11,19.48,21.11,91.68,3.32,4.93,67.67,0.18,0.12,0.06,1.76,3.99,0.65,-0.01,3.22,0.98,0.98,0.26,0.57,0.17,0.29,2.16,15.42,1.81,17.32,5.88,33.92,5.31,7.72,4.42,2.45,0.03,0.1,2.36,1.03,1.94,0.76,-0.07, , , , , , , , , , , , , , , , , , , ,No
A. Andama,Byasier Pujan,1,DF,Flawless Cows,No,Yes,B,20,2000,18.71,0.04,0.18,0.15,99.93,0.04,0.08,-0.06,-0.08,14.01,-0.09,0.09,0.09,0.02,0.07,0.09,-0.03,0,63.47,71.32,88.88,931.36,268.19,39.58,41.6,94.9,20.66,23.36,88.47,2.44,4.51,54.13,0.2,0.13,0.01,0.77,3.83,1.23,0.61,3.41,2.38,1.43,1.3,0.4,0.41,0.68,1.19,58.37,0.48,10.26,3.56,34.99,3.43,3.91,2.88,1.8,0.19,0.01,1.74,0.93,3.23,1.45,0.06, , , , , , , , , , , , , , , , , , , ,No
A. Fekete,Byasier Pujan,1,MF,Flawless Cows,No,Yes,B,17,2003,0.09,0.08,1,-0.06,0.05,44.96,0.03,0.06,,21.89,0.03,-0.04,-0.02,0.01,0.11,0.03,-0.13,-0.04,6.01,8.01,75.08,88.94,13.9,4.05,4.91,80.07,0.03,0.08,,1.02,0.96,100.04,-0.07,-0.07,0.01,0.08,1.07,0,0.09,-0.03,1.06,1.04,0.08,0.08,0.96,0.05,0.07,,-0.08,3.01,1.93,66.61,0.02,2,1.07,0,0.03,-0.03,-0.01,0.03,1.02,-0.09,0.06, , , , , , , , , , , , , , , , , , , ,No
Q. Mutabazi,Byasier Pujan,1,FW,Jumping Beans,No,Yes,B,22,1998,7.3,-0.03,1.89,0.46,23.12,1.88,0.44,-0.02,-0.05,16.3,0.1,0.03,0.07,0.07,0.21,0.14,-0.15,-0.22,15.34,23.31,65.55,264.6,57.84,8.26,11.41,71.97,5.08,7.46,66.76,1.76,3.03,59.05,0.15,0.02,0.1,1.29,1.73,0.76,0.09,1.86,0.55,0.06,-0.08,0.37,0.26,-0.05,0.83,0,0.73,16.1,4.54,28.76,1.33,6.89,7.72,0.27,0.2,-0.08,-0.06,0.36,0.75,0.66,0.06, , , , , , , , , , , , , , , , , , , ,No
A. Odaga,Byasier Pujan,1,MF,Solemn Leopards,No,Yes,B,30,1990,2.62,-0.02,0.07,-0.09,,0.09,-0.01,,,,0.07,-0.04,0.06,-0.06,0.05,,-0.05,-0.09,58.56,69.16,84.38,1165.49,302.67,22.71,25.44,89.34,22.74,25.32,89.34,11.51,16.21,71.32,-0.01,0.17,-0.08,1.2,6.97,0.3,0.03,7.01,4.2,2.37,1.94,2.26,0.02,1.84,3.42,55.56,1.56,23.42,8.4,36.1,8.87,13.59,1.16,2.32,0.85,0.09,1.58,1.11,5.38,3.48,-0.03, , , , , , , , , , , , , , , , , , , ,No
J. Odeke,Byasier Pujan,1,DF,Somber Stallions,No,Yes,B,20,2000,36.79,0.02,0.44,0.11,31.37,0.51,0.09,-0.09,-0.02,13.83,0.01,0.02,0.07,-0.07,0.06,0.1,-0.01,0.06,60.94,69.12,88.37,1306.15,478.39,18.51,19.51,94.59,31.41,33.86,92.98,10.46,14.63,71.63,-0.01,0,-0.03,0.2,4.86,0.22,0.09,4.64,1.38,0.85,0.71,0.52,0,0.32,0.72,42.4,0.42,6.95,2.42,33.38,4.35,2.44,0.16,1.24,0.63,0.03,0.62,1.03,2.39,5.3,-0.04, , , , , , , , , , , , , , , , , , , ,No
C. Danquah,Byasier Pujan,1,DF,Unaccountable Foxes,No,Yes,A,24,1995,16.5,-0.06,0.48,0.15,28.53,0.5,0.1,-0.09,-0.09,18.42,0.06,-0.01,0,-0.02,0.02,-0.01,-0.05,-0.07,38.88,52.22,74.43,714.11,289.85,17.01,20.4,84.2,16.15,20.58,78.58,4.74,7.77,59.76,0.07,0.09,0,1.01,2.03,1.49,1.1,3.22,3.57,1.77,1.99,1.16,0.38,0.84,1.63,57.76,0.72,15.27,4.84,31.56,7.3,5.29,2.48,1.87,0.38,0.05,1.46,1.82,5.2,3.62,-0.09, , , , , , , , , , , , , , , , , , , ,No
Y. Rabinovitch,Western Niasland,,DF,Fighting Cougars,No,No,A,28,1992,0.11,-0.05,10.1,10.03,99.96,9.95,10.07,-0.08,0.02,31.98,0.06,-0.04,0.03,0.1,0.07,-0.03,-0.08,0.06,80.01,90.03,88.84,1270.07,129.99,39.97,39.92,100.05,39.98,49.95,79.97,0,-0.04,,-0.09,0.08,0,0.02,0.07,0.09,-0.07,0.1,0.1,-0.06,0.09,-0.01,0.02,-0.05,0.01,,0.07,9.91,0.08,-0.08,0.06,-0.08,10.1,-0.05,-0.02,-0.06,-0.03,0.05,-0.05,0.09,-0.05, , , , , , , , , , , , , , , , , , , ,No
R. Petrenko,Lefghau,,DFMF,Fighting Cougars,No,No,A,25,1995,2.35,-0.04,1.67,-0.02,-0.1,1.8,-0.01,0.07,,6.87,0.03,0.06,0.01,0.22,0.18,0.02,-0.17,-0.12,27.01,37.75,71.31,452.99,125.13,13.81,16.56,84.3,10.45,14.8,70.68,2.17,2.58,83.4,-0.01,0,-0.14,0.82,1.39,0.96,0.53,2.55,3.42,2.27,2.65,0.49,0.36,1.76,2.68,66.77,0.91,14.86,5.73,38.15,6.43,3.85,4.31,2.71,-0.02,0,2.65,0.05,3.57,1.25,0.04, , , , , , , , , , , , , , , , , , , ,No
Y. Manjate,Byasier Pujan,,FW,Unaccountable Foxes,Yes,Yes,B,26,1994,32.55,0.66,3.09,1.38,44.02,3.22,1.43,0.07,0.3,21.08,0.51,0.32,0.16,0.48,0.33,0.13,0.02,-0.04,28.17,40.04,70.49,478.81,160.24,15.47,18.83,81.84,7.66,10.32,73.73,3.99,7.85,50.06,0.31,0.4,-0.01,2.81,2.57,1.79,0.49,3.75,0.14,0.28,-0.09,0.07,0.22,0.06,0.55,4.96,0.62,10.16,2.32,22.48,0.33,3.67,6.37,0.42,0.08,-0.04,0.28,0.24,0.55,0.05,-0.03, , , , , , , , , , , , , , , , , , , ,No
Q. Scott,Byasier Pujan,1,FWMF,Awkward Trailblazers,No,Yes,C,20,1999,4.34,-0.03,2.12,0.19,11.04,2.06,0.22,-0.02,0,20.67,-0.04,-0.06,0.03,0.09,0.07,0.09,-0.16,-0.07,19.94,31.51,63.19,321.53,109.1,11.55,15.95,72.54,5.43,8.33,63.97,2.11,3.23,64.25,0.28,0.14,0.1,1.12,1.69,0.75,0.44,1.66,2.76,1.95,0.65,1.54,0.48,0.85,1.79,49.98,1.03,22.34,7.45,33.27,3.32,14.05,5.18,0.62,0,0.01,0.6,0.68,3.54,0.55,0.07, , , , , , , , , , , , , , , , , , , ,No
A. Ashaba,Byasier Pujan,1,MF,Awkward Trailblazers,No,Yes,C,27,1993,2.6,0.07,1.59,0.03,0.09,1.57,-0.03,-0.02,,21.64,-0.02,0.07,-0.1,0.13,0.1,0,-0.1,-0.11,17.52,25.59,68.74,273.6,85.98,7.5,10.43,73.12,9.25,11.21,82.01,0.49,2.31,16.62,-0.01,-0.02,-0.07,0.01,1.51,0.37,0.03,1.98,1.15,0.84,0.38,0.45,0.44,-0.01,0.76,0.05,0.79,23.59,7.99,33.99,3.64,13.92,5.98,3.54,0.43,-0.03,3.21,0.78,1.98,-0.04,0.03, , , , , , , , , , , , , , , , , , , ,No
S. Nachum,Byasier Pujan,1,DF,Blue Jaguars,No,Yes,C,26,1994,-0.07,-0.07,0.09,0.04,,0,-0.04,,,,0.07,0.07,0.09,-0.1,0.03,,-0.06,0.09,0.02,2.09,0.06,-0.06,0.06,0,0.07,,-0.04,0.94,-0.04,0.05,0.93,0,0.04,-0.06,0.08,0.1,0.1,0.02,-0.03,0.02,0.04,-0.04,0.01,-0.04,0.09,-0.1,-0.05,,-0.09,0.04,0.02,,0.03,-0.03,0.08,0.08,0.1,-0.03,-0.06,-0.06,0.08,-0.09,0.01, , , , , , , , , , , , , , , , , , , ,No
R. binti Hassan,Southslands,,FW,Fighting Cougars,No,No,A,20,2000,8.71,0.31,2.56,0.89,34.83,2.59,1,0.01,0.16,13.77,0.08,-0.02,0.04,0.4,0.33,0.19,-0.25,-0.19,9.03,11.47,78.17,130.21,18.76,5.18,6.44,80.38,2.94,3.42,86.78,0.43,0.66,80.01,0.16,-0.07,0.15,0.59,0.3,0.19,-0.07,0.43,0.84,0.5,0.29,0.45,0.07,0.08,0.51,20.06,0.54,14.1,4.52,32.21,0.73,6.49,6.76,0.99,0.18,0.08,0.98,-0.01,0.86,0.07,-0.08, , , , , , , , , , , , , , , , , , , ,No
R. Dahl,Byasier Pujan,1,DFMF,Blue Jaguars,No,Yes,C,18,2002,3.03,-0.06,1.26,0.66,50.09,1.33,0.71,-0.03,-0.01,21.78,0.01,-0.04,0.01,0.13,-0.01,0.09,0.05,-0.12,46.85,54.19,86.36,937.41,290.36,21.3,23.55,90.45,17.39,19.78,88.57,7.83,9.33,82.87,0.31,0.09,0.35,1.32,3.58,0.57,0,5.25,2.21,1.63,0.61,1.35,0.25,1.24,3.52,36.45,2.26,15.13,5.47,36.19,7.84,5.9,1.64,0.73,-0.05,-0.04,0.56,1,3.14,2.02,0.05, , , , , , , , , , , , , , , , , , , ,No
G. Bellini,Buhegeor,,FWMF,Fighting Cougars,No,No,A,26,1994,1.08,-0.05,-0.02,-0.03,,0.06,0.09,,,,0.07,0,0.02,0.08,-0.01,,0.05,-0.03,20.02,26.37,75.8,292.65,60.93,10.04,13.64,73.21,9.01,10.1,90.8,0.03,1.89,0.09,1,0.36,0.66,2.72,0.9,0.94,-0.04,1.82,0.86,0.08,0.93,0.02,-0.09,0.99,1.77,50.06,0.85,27.35,2.82,10.1,8.12,10.03,9.14,1.73,-0.08,0.08,1.78,-0.1,0.89,0.04,-0.05, , , , , , , , , , , , , , , , , , , ,No
